label,message
spam,Win a trip to Bahamas! You are selected. Call 9523601252 within 48 hours. Ref: HOLS5761
ham,"Hey, are you free this evening? We could grab dinner. bchmqgkcuoncr"
ham,Meeting has been moved to 3pm. See you there. rhaodxpp burddqjsumk
ham,Just finished the report. Will send it over shortly. mgeypkw
ham,Lunch at the usual place? 12:30 works for me. esblayywbple
ham,"Just got out of the meeting, calling you in 5. xmpyybz"
spam,WINNER!! You have been selected to win a cash prize of £6264 CALL NOW 8320748157
spam,PRIVATE! Your 2003 Account Statement shows £3719 UNCLAIMED! Call 9747261955 to claim.
ham,Lunch at the usual place? 12:30 works for me. kz
ham,"Just got out of the meeting, calling you in 5.  b"
ham,Meeting has been moved to 3pm. See you there. fhipvqztpphpoljcw
spam,Congratulations! Your mobile has won £8793 prize. Call 9190227431 to claim. Send STOP to opt out.
ham,"Hey, are you free this evening? We could grab dinner. lvlksxrq ypeoxznux"
ham,Can you pick up some milk on your way home? wlld
ham,Lunch at the usual place? 12:30 works for me. euyk ahjgegyfjvhxp
ham,"Thanks for helping me yesterday, really appreciate it. tfc bafwfcfpoxuimeny"
ham,"Mom says dinner is ready at 7, don't be late. gselrexulhmniey"
spam,PRIVATE! Your 2003 Account Statement shows £5285 UNCLAIMED! Call 7566862173 to claim.
ham,The package has been delivered to your door. equriubnttnz
ham,The package has been delivered to your door. sadcmqxghwhi o
spam,Your FREE loan of £9763 is approved. Call 9839759520 to collect. Ts&Cs apply.
ham,Are you coming to the party tonight? It starts at 8. ukvkheefsxvmto
ham,The package has been delivered to your door. kcgxobchfffpx
ham,Can we reschedule our call to tomorrow morning? rocmsz
ham,Can you send me the address again? I lost it. voinqwqksqskv
ham,"Running 10 mins late, sorry! Almost there. mudhqglaotzbsh iur"
ham,Are you coming to the party tonight? It starts at 8. piftmf mwqgipnmbcry
ham,"Just got out of the meeting, calling you in 5. rjfncwqfb"
ham,"Just got out of the meeting, calling you in 5. gny klvczffwumhggd"
ham,The package has been delivered to your door. rsepvzeivtrhjsimmun
ham,Meeting has been moved to 3pm. See you there.  pj
spam,Congratulations! Your mobile has won £1746 prize. Call 8905584866 to claim. Send STOP to opt out.
spam,You have won a Nokia 6610. Call 8799682701 now to claim. Send STOP to 87239 to end.
spam,You have won a Nokia 6610. Call 7058731376 now to claim. Send STOP to 87239 to end.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 send to 87575. Cost: £5735p/msg."
ham,Are you coming to the party tonight? It starts at 8. pmhhuehlj
ham,"Thanks for helping me yesterday, really appreciate it. xdmt"
ham,The package has been delivered to your door. kllnuac
spam,CASH PRIZE: Draw shows you have won a top prize of £3678. To collect call 8062855922.
ham,"Just got out of the meeting, calling you in 5.  tnbeqojyrwhwkqawms"
ham,Happy birthday! Hope you have a wonderful day! eucdpwcb acnviyb
spam,PRIVATE! Your 2003 Account Statement shows £351 UNCLAIMED! Call 7909707455 to claim.
ham,Happy birthday! Hope you have a wonderful day! n qjmlgs
ham,The kids are asking about the weekend trip. You in? pfgqtqo  wlj
ham,"Hey, are you free this evening? We could grab dinner."
ham,Did you see the game last night? What a match! yobwidm
spam,WINNER!! You have been selected to win a cash prize of £3713 CALL NOW 8254516608
spam,IMPORTANT: Your account will be suspended. Verify now or lose access permanently at http://bit.ly/7844
ham,The kids are asking about the weekend trip. You in?
spam,Congratulations! Your mobile has won £7472 prize. Call 9000738353 to claim. Send STOP to opt out.
ham,Just finished the report. Will send it over shortly. ddsp
ham,Did you get my email? Let me know when you can talk. yq wh diov vjgxytolf
ham,Happy birthday! Hope you have a wonderful day! eeibnxl aabhyv
ham,Remember we have that dentist appointment tomorrow at 2pm. edifkblkckafkc
spam,Naughty text messages! Txt CHAT to 8285821930 £9186/msg 2 stop txt STOP.
ham,Can you pick up some milk on your way home?  limbaqarxxmkoqlexh
ham,Happy birthday! Hope you have a wonderful day! wevsxrpzbzmrosrwozby
ham,"Just checking in, how are you feeling today?   egavmnpvdgteu"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 send to 87575. Cost: £4776p/msg."
ham,"Running 10 mins late, sorry! Almost there. cpcpsjofnfo"
ham,"Just got out of the meeting, calling you in 5. meg lz"
spam,Congratulations! Your mobile has won £6803 prize. Call 9890416998 to claim. Send STOP to opt out.
ham,The package has been delivered to your door. uysqzptijvkinouges
ham,The kids are asking about the weekend trip. You in? snilrijxejvkeeq e l
spam,CASH PRIZE: Draw shows you have won a top prize of £6110. To collect call 9328058564.
spam,WINNER!! You have been selected to win a cash prize of £8198 CALL NOW 8395925222
ham,Can we reschedule our call to tomorrow morning? eji
ham,"Hey, are you free this evening? We could grab dinner. fq oohsracfgspfqsmak"
ham,Remember we have that dentist appointment tomorrow at 2pm. vzbz
spam,Congratulations! Your mobile has won £8380 prize. Call 7573437604 to claim. Send STOP to opt out.
ham,The kids are asking about the weekend trip. You in? n  vhclso
ham,"Mom says dinner is ready at 7, don't be late. nxepnkscrlzv"
spam,WINNER!! You have been selected to win a cash prize of £564 CALL NOW 7348849508
ham,Meeting has been moved to 3pm. See you there. xrhrjdcnsnapph
ham,"No worries, take your time. I'll be here. czd"
ham,"No worries, take your time. I'll be here. eq fkdtmwg fpilyhn"
ham,"Just checking in, how are you feeling today? frpzpp"
ham,"Just got out of the meeting, calling you in 5. h fmcdzjzfykmzmf"
ham,"Mom says dinner is ready at 7, don't be late. fvtwa ljnsxslbz"
ham,Lunch at the usual place? 12:30 works for me. nnyeptdkqxnk yuh
spam,You have an important message waiting. Call 8801823908 now. Calls cost £9028p/min.
ham,Lunch at the usual place? 12:30 works for me. eb if
ham,"Just got out of the meeting, calling you in 5. rjfchxypocnhcivakln"
ham,Remember we have that dentist appointment tomorrow at 2pm. twburvfsqds
spam,Win a trip to Bahamas! You are selected. Call 8058791632 within 48 hours. Ref: HOLS3250
spam,Win a trip to Bahamas! You are selected. Call 9603869092 within 48 hours. Ref: HOLS2540
spam,URGENT! Your Mobile number has been awarded a £6170 Bonus Caller Prize. Call 9211822827 now.
ham,"Running 10 mins late, sorry! Almost there. jhtljvdubaipwkbt"
ham,"Running 10 mins late, sorry! Almost there. ohzxqrvlrdjennsbbjz"
ham,The kids are asking about the weekend trip. You in? adpuspvp gtggbb
spam,Congratulations! Your mobile has won £7629 prize. Call 7069927882 to claim. Send STOP to opt out.
ham,"Mom says dinner is ready at 7, don't be late. dkpepaojch"
spam,Hot singles in your area! Text MEET to 7195066088. Msgs cost £5153 ea. Stop: STOP.
ham,"Mom says dinner is ready at 7, don't be late."
ham,"Just got out of the meeting, calling you in 5. btumani m"
spam,FREE entry to win FA Cup final tkts. Text FA to 87121. Cost £1958p/msg.
ham,"Running 10 mins late, sorry! Almost there. nigsywgqpud"
ham,Lunch at the usual place? 12:30 works for me.
ham,Did you see the game last night? What a match! cgojkqjr
spam,Congratulations! Your mobile has won £5472 prize. Call 9838626452 to claim. Send STOP to opt out.
spam,Naughty text messages! Txt CHAT to 7651662547 £978/msg 2 stop txt STOP.
ham,"Running 10 mins late, sorry! Almost there. arsauvkkw"
spam,PRIVATE! Your 2003 Account Statement shows £6094 UNCLAIMED! Call 9279993598 to claim.
ham,Lunch at the usual place? 12:30 works for me. wpujpgd
spam,FREE entry to win FA Cup final tkts. Text FA to 87121. Cost £5367p/msg.
ham,"Thanks for helping me yesterday, really appreciate it. tzvhrohsnbytqh"
ham,Remember we have that dentist appointment tomorrow at 2pm. phlrwtqqmmxscrgykcb
ham,Are you coming to the party tonight? It starts at 8. w
ham,Remember we have that dentist appointment tomorrow at 2pm. gompzvhz
spam,WINNER!! You have been selected to win a cash prize of £1989 CALL NOW 8121910732
ham,Can you pick up some milk on your way home? scsbqvvsqupw ocs
ham,Happy birthday! Hope you have a wonderful day! gglfybpblf
ham,Can you send me the address again? I lost it. irjtiezgqkphw ums
ham,"Thanks for helping me yesterday, really appreciate it. xjjmdbbdi"
ham,Did you see the game last night? What a match! kprnreighnvkjmcdxuh
ham,Happy birthday! Hope you have a wonderful day! eqjmdbjvyewcmrjiykyu
ham,The package has been delivered to your door. ofscr
ham,"No worries, take your time. I'll be here. mrv anahznne"
spam,You have won a Nokia 6610. Call 8659355558 now to claim. Send STOP to 87239 to end.
ham,"Just got out of the meeting, calling you in 5. xiew edmkhqb"
ham,Can you send me the address again? I lost it. ditarmzsg ekvb
spam,Hot singles in your area! Text MEET to 8477615282. Msgs cost £8040 ea. Stop: STOP.
spam,URGENT! Your Mobile number has been awarded a £6681 Bonus Caller Prize. Call 7166569717 now.
ham,"Hey, are you free this evening? We could grab dinner. fmplujjnpwkngh"
ham,Did you see the game last night? What a match! fneuwahjjpspmdctfp
spam,FREE entry to win FA Cup final tkts. Text FA to 87121. Cost £2076p/msg.
ham,Just finished the report. Will send it over shortly. lp
ham,"Thanks for helping me yesterday, really appreciate it. ip"
ham,The kids are asking about the weekend trip. You in? iqtpbvtplningsir
spam,Claim your FREE gift now! Text YES to 8673413661 to receive your £2627 voucher. Ts&Cs apply.
ham,Just finished the report. Will send it over shortly.
ham,Remember we have that dentist appointment tomorrow at 2pm. h
spam,Claim your FREE gift now! Text YES to 8947382419 to receive your £4654 voucher. Ts&Cs apply.
ham,Just finished the report. Will send it over shortly. rdtkd
ham,"Just checking in, how are you feeling today? haglrdjvwvs"
ham,Can you pick up some milk on your way home? owll
spam,FREE entry to win FA Cup final tkts. Text FA to 87121. Cost £2353p/msg.
ham,Did you get my email? Let me know when you can talk. lal
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 send to 87575. Cost: £2058p/msg."
ham,Remember we have that dentist appointment tomorrow at 2pm. vgovpmsjfl jsjolnm
spam,CASH PRIZE: Draw shows you have won a top prize of £2629. To collect call 7321384892.
spam,Your FREE loan of £6129 is approved. Call 8876691885 to collect. Ts&Cs apply.
ham,Did you get my email? Let me know when you can talk. nhyxsrxnuexbezl
ham,Can you send me the address again? I lost it. hmspsmng
ham,Just finished the report. Will send it over shortly.  dt
ham,"Hey, are you free this evening? We could grab dinner. xzdz"
spam,You have an important message waiting. Call 8267119521 now. Calls cost £5623p/min.
ham,Just finished the report. Will send it over shortly. xahc xbpudoiifwo
ham,"Just checking in, how are you feeling today? gaaashtd"
ham,"Thanks for helping me yesterday, really appreciate it. vv"
ham,"Thanks for helping me yesterday, really appreciate it. llgleyavc slbxxpvy u"
ham,Can you pick up some milk on your way home? pfzhsfnbkeh
ham,"Hey, are you free this evening? We could grab dinner. x"
ham,Can you send me the address again? I lost it. sxvlcgwzh
spam,WINNER!! You have been selected to win a cash prize of £4413 CALL NOW 8888670721
ham,"Running 10 mins late, sorry! Almost there. jhsn"
ham,Are you coming to the party tonight? It starts at 8. bunqvvggzhu
ham,"Hey, are you free this evening? We could grab dinner. fxznxrxqmdhivcyanse"
ham,"No worries, take your time. I'll be here. bmyyzuiynx"
ham,"Running 10 mins late, sorry! Almost there. nbnkpzxup lcxzemo"
ham,Remember we have that dentist appointment tomorrow at 2pm. ceic cbayvywnhhwbq
spam,PRIVATE! Your 2003 Account Statement shows £2811 UNCLAIMED! Call 7222424647 to claim.
spam,URGENT! Your Mobile number has been awarded a £3346 Bonus Caller Prize. Call 8720485787 now.
spam,You have won a Nokia 6610. Call 7392245997 now to claim. Send STOP to 87239 to end.
ham,"Thanks for helping me yesterday, really appreciate it. oh tsdmdln"
ham,Remember we have that dentist appointment tomorrow at 2pm. svkb fyjm lbkr
ham,"Just checking in, how are you feeling today? ju oq"
ham,"Mom says dinner is ready at 7, don't be late. xd"
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Mom says dinner is ready at 7, don't be late. jxpw bqobxmyzzrghrz"
ham,The kids are asking about the weekend trip. You in? brc hget
spam,Congratulations! Your mobile has won £614 prize. Call 8419179580 to claim. Send STOP to opt out.
ham,Just finished the report. Will send it over shortly. crnybh iwbgvwzewqhke
ham,The kids are asking about the weekend trip. You in? mueooo
ham,Happy birthday! Hope you have a wonderful day! q
ham,Remember we have that dentist appointment tomorrow at 2pm. blhaqj ykzhaj
ham,"Just checking in, how are you feeling today? mhn i"
ham,Happy birthday! Hope you have a wonderful day! qglwoqexutxzbwgqletx
ham,Remember we have that dentist appointment tomorrow at 2pm. ndm
ham,Can you send me the address again? I lost it. qzvthdzqcwnnhuc
ham,Can you send me the address again? I lost it. wcrbvkvyjxlzduuwzr
ham,"Hey, are you free this evening? We could grab dinner. zt"
ham,Can you pick up some milk on your way home? kzfznwlvpr
ham,Can you send me the address again? I lost it.
ham,Lunch at the usual place? 12:30 works for me. xivzkxmetkzxvk
ham,Remember we have that dentist appointment tomorrow at 2pm. fzijviqysnomh br kxz
ham,Can you pick up some milk on your way home? jmaubbsswhpekvwrbnqc
spam,Your FREE loan of £9336 is approved. Call 9488796494 to collect. Ts&Cs apply.
ham,"No worries, take your time. I'll be here.  pybuxr euf"
ham,"Running 10 mins late, sorry! Almost there. nzhsngfe"
ham,"Hey, are you free this evening? We could grab dinner. apzyobklhvy nsdyffwi"
ham,Did you see the game last night? What a match! sjpdxnapwwrxz
ham,"Just checking in, how are you feeling today? brcrbtbleqfplldt"
ham,Can we reschedule our call to tomorrow morning? ecifzcf
ham,Can we reschedule our call to tomorrow morning? wkmomicffvhoubacge
ham,"Thanks for helping me yesterday, really appreciate it. qnnisrqqwfpcoj"
spam,Naughty text messages! Txt CHAT to 9563970187 £5234/msg 2 stop txt STOP.
spam,URGENT! Your Mobile number has been awarded a £527 Bonus Caller Prize. Call 8369568735 now.
ham,Lunch at the usual place? 12:30 works for me. xiwaqia
ham,Happy birthday! Hope you have a wonderful day! fhi
ham,Just finished the report. Will send it over shortly. cxzlabkx l kzxbgke
ham,Happy birthday! Hope you have a wonderful day! vheuoxe asgwjsilszdt
spam,You have won a Nokia 6610. Call 8096619850 now to claim. Send STOP to 87239 to end.
ham,Did you see the game last night? What a match! pxiavdjkgjbfszirnaa
ham,Just finished the report. Will send it over shortly. tdjcvtin
ham,The package has been delivered to your door. waiwwikbejwj
ham,The package has been delivered to your door. qjlnw
ham,"Thanks for helping me yesterday, really appreciate it. ftvsne prgdb"
spam,Naughty text messages! Txt CHAT to 7582824840 £7122/msg 2 stop txt STOP.
ham,Can we reschedule our call to tomorrow morning? idbjxv
spam,WINNER!! You have been selected to win a cash prize of £8725 CALL NOW 9052947074
ham,Can you pick up some milk on your way home? h
ham,"Thanks for helping me yesterday, really appreciate it. danpv ddvazwkuqwdn"
ham,"Mom says dinner is ready at 7, don't be late. kxk nzi"
spam,URGENT! Your Mobile number has been awarded a £9969 Bonus Caller Prize. Call 8366731217 now.
ham,Remember we have that dentist appointment tomorrow at 2pm. v
ham,"Thanks for helping me yesterday, really appreciate it. jsckxjuomchptoue dp"
spam,Hot singles in your area! Text MEET to 7317234448. Msgs cost £2688 ea. Stop: STOP.
ham,"Just got out of the meeting, calling you in 5. xegobmvarmvwttrmt"
ham,Did you see the game last night? What a match! hlmzndpoildxe fts
ham,Did you see the game last night? What a match! lp
ham,Happy birthday! Hope you have a wonderful day! ycbx
ham,"Just checking in, how are you feeling today? evp"
ham,Lunch at the usual place? 12:30 works for me. vegpkqdiahj
ham,"Just got out of the meeting, calling you in 5. emb"
ham,"No worries, take your time. I'll be here. akvntdkannqrnxdsm"
ham,"Thanks for helping me yesterday, really appreciate it. zl uoculwzzxbxj"
spam,You have won a Nokia 6610. Call 9835590759 now to claim. Send STOP to 87239 to end.
ham,"Just checking in, how are you feeling today? bnmkp yydb"
ham,"Mom says dinner is ready at 7, don't be late. bx"
spam,Your FREE loan of £6276 is approved. Call 7317677825 to collect. Ts&Cs apply.
ham,Can you send me the address again? I lost it. xsxhenkmmio
ham,Lunch at the usual place? 12:30 works for me. ac
ham,Happy birthday! Hope you have a wonderful day! ahkzcwumyiwhc
ham,Just finished the report. Will send it over shortly. msbvod dctetwg
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 send to 87575. Cost: £3773p/msg."
ham,Can we reschedule our call to tomorrow morning? uwxzlyuwo
spam,Congratulations! Your mobile has won £2274 prize. Call 9549834042 to claim. Send STOP to opt out.
spam,Claim your FREE gift now! Text YES to 8005640129 to receive your £5105 voucher. Ts&Cs apply.
ham,Are you coming to the party tonight? It starts at 8. njmctlhi n hjlyh
ham,Can you pick up some milk on your way home? c
spam,WINNER!! You have been selected to win a cash prize of £6423 CALL NOW 8882141157
ham,Happy birthday! Hope you have a wonderful day! fbfd
ham,Remember we have that dentist appointment tomorrow at 2pm. dxypfvcwin
ham,Are you coming to the party tonight? It starts at 8. vdzwi sgit
spam,You have an important message waiting. Call 7299832023 now. Calls cost £2336p/min.
ham,The package has been delivered to your door. mgnmbsukuxkad
ham,Can you pick up some milk on your way home?
ham,"No worries, take your time. I'll be here. d  kfu"
spam,FREE entry to win FA Cup final tkts. Text FA to 87121. Cost £6323p/msg.
spam,WINNER!! You have been selected to win a cash prize of £9549 CALL NOW 8136688451
spam,Win a trip to Bahamas! You are selected. Call 7271730355 within 48 hours. Ref: HOLS2490
spam,Naughty text messages! Txt CHAT to 7322299355 £1039/msg 2 stop txt STOP.
spam,WINNER!! You have been selected to win a cash prize of £9589 CALL NOW 9328710672
ham,Remember we have that dentist appointment tomorrow at 2pm. fzihsxxqmnqfxo
spam,You have an important message waiting. Call 7701808367 now. Calls cost £4110p/min.
ham,"Just got out of the meeting, calling you in 5. fzeql"
ham,"Just got out of the meeting, calling you in 5. jntntjsmc"
spam,IMPORTANT: Your account will be suspended. Verify now or lose access permanently at http://bit.ly/544
ham,Just finished the report. Will send it over shortly. fclqmexvzpz
ham,Just finished the report. Will send it over shortly. qnvdxo vccizehjceu
ham,"Just got out of the meeting, calling you in 5. cy"
spam,Naughty text messages! Txt CHAT to 9666707262 £3215/msg 2 stop txt STOP.
spam,Naughty text messages! Txt CHAT to 8179714407 £5061/msg 2 stop txt STOP.
ham,"Hey, are you free this evening? We could grab dinner. cubfaywobqb"
ham,The kids are asking about the weekend trip. You in? csqgylibuhg
ham,"Mom says dinner is ready at 7, don't be late. gqvrcx"
ham,Meeting has been moved to 3pm. See you there.  jz
spam,IMPORTANT: Your account will be suspended. Verify now or lose access permanently at http://bit.ly/3797
ham,"Running 10 mins late, sorry! Almost there. zvazszdnssodafwal"
ham,Can you pick up some milk on your way home? whphpjwaswiynldzh
ham,Can you pick up some milk on your way home? apxykodumvvnq
ham,Did you see the game last night? What a match! tmfqslemocnhdueu
spam,PRIVATE! Your 2003 Account Statement shows £5155 UNCLAIMED! Call 9136189070 to claim.
ham,Did you see the game last night? What a match! tr
ham,Are you coming to the party tonight? It starts at 8. rslddhtvxj
ham,Can you send me the address again? I lost it. vud
ham,"Just checking in, how are you feeling today? purorh"
ham,Remember we have that dentist appointment tomorrow at 2pm.
spam,PRIVATE! Your 2003 Account Statement shows £668 UNCLAIMED! Call 9156509381 to claim.
spam,URGENT! Your Mobile number has been awarded a £9690 Bonus Caller Prize. Call 8872111746 now.
spam,WINNER!! You have been selected to win a cash prize of £1759 CALL NOW 8422040412
ham,Can you send me the address again? I lost it. gxvruqfntowoftkpojd
spam,CASH PRIZE: Draw shows you have won a top prize of £6390. To collect call 9411976659.
ham,Meeting has been moved to 3pm. See you there. vzwgtfk  iowhyigiay
ham,"Mom says dinner is ready at 7, don't be late. ntuwvakxuyqet"
ham,"Mom says dinner is ready at 7, don't be late. kigxbiqwk"
spam,URGENT! Your Mobile number has been awarded a £5294 Bonus Caller Prize. Call 9758823240 now.
ham,Happy birthday! Hope you have a wonderful day! ntjrikeutucy
spam,Congratulations! Your mobile has won £4946 prize. Call 7434396266 to claim. Send STOP to opt out.
ham,"Hey, are you free this evening? We could grab dinner. snwgzn mibtgbsq"
ham,"Just got out of the meeting, calling you in 5."
ham,Did you get my email? Let me know when you can talk. drnqv
ham,Can you pick up some milk on your way home? ldeikphr
ham,"Running 10 mins late, sorry! Almost there. jyusmykryaeoaqme"
spam,IMPORTANT: Your account will be suspended. Verify now or lose access permanently at http://bit.ly/4481
ham,Just finished the report. Will send it over shortly. bpvstksx
spam,URGENT! Your Mobile number has been awarded a £5542 Bonus Caller Prize. Call 8768294570 now.
spam,Congratulations! Your mobile has won £1503 prize. Call 9087313121 to claim. Send STOP to opt out.
ham,Are you coming to the party tonight? It starts at 8. xiybnlrindpkkmi
spam,You have won a Nokia 6610. Call 8083497965 now to claim. Send STOP to 87239 to end.
ham,The package has been delivered to your door. yfsjtfzxkgehbdl
ham,Did you see the game last night? What a match! t
ham,Did you see the game last night? What a match! vgbylly
ham,"No worries, take your time. I'll be here. lowzzgmdr"
spam,URGENT! Your Mobile number has been awarded a £1512 Bonus Caller Prize. Call 7282385977 now.
ham,Can you send me the address again? I lost it. drutymvvvfucvl
ham,"No worries, take your time. I'll be here. jsf"
ham,Meeting has been moved to 3pm. See you there.
spam,Congratulations! Your mobile has won £6458 prize. Call 9389566051 to claim. Send STOP to opt out.
ham,The package has been delivered to your door. kqm
ham,"Hey, are you free this evening? We could grab dinner. qetvfqiinahfhrmhc"
ham,Can you send me the address again? I lost it. cskiyveaepqa  nqoeuz
ham,Meeting has been moved to 3pm. See you there. mlmcpq
ham,Remember we have that dentist appointment tomorrow at 2pm. npum syku
ham,Meeting has been moved to 3pm. See you there. jvwnpkspylvavruz
ham,"Hey, are you free this evening? We could grab dinner. pawaglggsimr"
ham,Happy birthday! Hope you have a wonderful day! rtst
ham,"Hey, are you free this evening? We could grab dinner. hymfwjk"
spam,Naughty text messages! Txt CHAT to 7753129506 £9749/msg 2 stop txt STOP.
ham,Are you coming to the party tonight? It starts at 8. atyywmsescw lnlui
spam,FREE entry to win FA Cup final tkts. Text FA to 87121. Cost £4188p/msg.
ham,The kids are asking about the weekend trip. You in? kvktgcb
ham,"Just got out of the meeting, calling you in 5. vvvgtcn"
ham,Lunch at the usual place? 12:30 works for me.
spam,WINNER!! You have been selected to win a cash prize of £5313 CALL NOW 9031417512
ham,Can you send me the address again? I lost it.
ham,Just finished the report. Will send it over shortly. nlzhyqxxvwanbbnzch
ham,Are you coming to the party tonight? It starts at 8.
ham,"Mom says dinner is ready at 7, don't be late. tupephqvfnrn wukntqx"
ham,The kids are asking about the weekend trip. You in? fxpygctkv vloezwvx
ham,Did you get my email? Let me know when you can talk. acqah
ham,Did you get my email? Let me know when you can talk. ngmpkvr
spam,IMPORTANT: Your account will be suspended. Verify now or lose access permanently at http://bit.ly/6786
ham,Meeting has been moved to 3pm. See you there. gcmyiwisssylmocmgg
ham,The kids are asking about the weekend trip. You in? pnut vfw xijprdthc
ham,"Running 10 mins late, sorry! Almost there. kusznnwhespnmup zmr"
ham,"No worries, take your time. I'll be here. abnjpzctoxu"
spam,WINNER!! You have been selected to win a cash prize of £301 CALL NOW 8050340486
ham,Are you coming to the party tonight? It starts at 8. ae
ham,"Mom says dinner is ready at 7, don't be late. ussugvhb"
ham,"Just checking in, how are you feeling today? yelkujrimjpsavgjrn"
ham,Did you see the game last night? What a match! j yoa
ham,Lunch at the usual place? 12:30 works for me. gfwd
ham,Remember we have that dentist appointment tomorrow at 2pm. bcsmgipizgloecvn
spam,Hot singles in your area! Text MEET to 7194576436. Msgs cost £759 ea. Stop: STOP.
ham,Are you coming to the party tonight? It starts at 8. paijko
ham,"Just checking in, how are you feeling today? l s"
ham,Can we reschedule our call to tomorrow morning? joysyoiz
ham,"Running 10 mins late, sorry! Almost there. yqzbld"
spam,Congratulations! Your mobile has won £1625 prize. Call 8730230896 to claim. Send STOP to opt out.
ham,Remember we have that dentist appointment tomorrow at 2pm. irvapaxcwauj r lqh
ham,Are you coming to the party tonight? It starts at 8. oxictxgejriibkhe
spam,IMPORTANT: Your account will be suspended. Verify now or lose access permanently at http://bit.ly/2596
ham,Just finished the report. Will send it over shortly. ryqamlpvrkz
ham,"Thanks for helping me yesterday, really appreciate it. mkvcjm cicyjuckebgho"
ham,The package has been delivered to your door. ucoadwfhvimdrnnm
spam,WINNER!! You have been selected to win a cash prize of £225 CALL NOW 7877990647
spam,PRIVATE! Your 2003 Account Statement shows £9669 UNCLAIMED! Call 9987248494 to claim.
ham,Happy birthday! Hope you have a wonderful day! adaupx
ham,The kids are asking about the weekend trip. You in? gbxkvdgtanunnniricc
ham,Did you get my email? Let me know when you can talk. cszeojhk bv
spam,Claim your FREE gift now! Text YES to 7237996376 to receive your £8338 voucher. Ts&Cs apply.
ham,Remember we have that dentist appointment tomorrow at 2pm. qcdhi wbzantujflauy
spam,CASH PRIZE: Draw shows you have won a top prize of £9213. To collect call 8578662692.
ham,"No worries, take your time. I'll be here. sezvqrjcxoep"
ham,"Just checking in, how are you feeling today? nxmjici"
ham,The package has been delivered to your door. lazctpfioj
ham,Meeting has been moved to 3pm. See you there.
